19,爱一个人意味着什么呢？这意味着为他的幸福而高兴，为使他能够幸福而去做需要做的一切，并从这当中得到快乐。一般的宿命，就是我们总会遇见一些人遭遇一些事。然后，看着命中注定的事发生，却无…,平凡
25,我想用我的真心换你我一生幸福的生活！还没找到你怎么办呢？其实无所谓合适不合适，重要在于，你是否愿意为对方包容，你是否把中心放在他身上，愿我就是你的天，你的肩膀，你的依靠。...,优秀
24,身高低于175  年纪超过30  勿扰    素质最重要  爱情和面包    你总要给我一样  面包更重要    生性凉薄  拒绝快餐爱情  无法坚持的人勿扰...,平凡
24,择偶要求：1.处事穩重風度翩翩，善良內外兼修，正能量獨特人格魅力。懂音樂声音好更加分2.恋爱中不帶大男子主义，要体谅理解幫助彼此。3.外表斯文儒雅，舉止有氣質的28歲之內的暖男型。…,平凡
25,真的遇到对的人就没有那么多条条框框。                      （属鸡和龙不考虑，比我小的不考虑，超过37岁不考虑，骗子勿扰，会举报，发消息前请看下资料，谢谢）......,平凡
25,定居广州，会说粤语...,平凡
24,哈喽，我实际是93年9月份的菇凉~身份证填小了三岁，介意勿扰哦。生活中的我是个爱笑爱闹的菇凉，喜欢养宠物，家里养了几只兔子还有喵星人和仓鼠。。吃货一枚，对好吃的和可爱的东西完全没有…,平凡
25,人以善为美，情以真为贵！尊重一切自然美好的事物和情感！茫茫人海，遇对一人便是幸福！  欲寻一位性格、三观相近、让有限的生命有宽度、生活有质感的男士为友，不管人生路旅途遇到何种风景，…,平凡
25,94年属狗巨蟹座北方人，找一个年龄相仿，身高183以上，黑框眼镜，皮肤白净，性格内敛男，如果发信请编辑：举杯邀明月的下一句...,平凡
25,曾经我有过自己梦想，但是都被我自己和别人毁灭。 我是一个笨女人，跟着别人东走西闯，那段生活一直活在欺骗里面，不顾家人的劝阻和那么一个光有外表的男人一起。 开始对我百依百顺，半年之后…,平凡
25,希望以后你在苏州定居的，喜欢懂事有包容心有赚钱能力，有责任心，格局大的男生！希望你是个温暖的人，奔着婚姻来的！小气，傲娇，各种隐瞒，不坦诚，不懂珍惜，我行我素人的就不用发信了！如果…,平凡
23,"我简单的介绍下自己的性格吧：
 优点：温柔善良、个性争强好胜、孝顺、会在乎别人的感受、在工作上学习能力强（其他的暂时没想到）
 缺点：自卑、敏感多疑、脾气有点暴躁、有点自大…
 我…",优秀
25,"大家好，我是来自摩洛哥的,很高兴见到你,我不在中国    我是22岁.不是25岁...",平凡
25,统一说明:本人从未主动发信息给任何人，那是系统自动发的，不要误会。非诚勿扰!...,平凡
25,"本人择偶要求（二选一）
一定：
1.孤儿（解释：就自己一个人）接受异地～不限工作（但也要有正规工作）～有房（支持财产公正）
2.三甲医院医生～必须本市～有房（50%支持财产公正）
…",平凡
25,我是顾家、纯真、善良、简单的我兴趣爱好广泛，喜欢旅游和看书。皮肤白皙，身材微胖，生活在幸福的三口之家，在政府机构从事文职工作。...,优秀
24,在这座好大的城市一个人生活、工作，希望有一个人一起经历大千世界，积极生活...,平凡
25,感谢浏览我资料的朋友，希望大家能以自己的诚意找到归宿！（外省分不要给我发信，发信直接拉黑！）...,平凡
25,"星星的故事、是陪你走在人海里、却不会让你走丢。
我是一个简单大气的女孩，乐观向上。我喜欢画画，唱歌，写作，旅行，我不是外貌协会，所以对另一半没有相貌上的要求，只要身体健康就好。
我…",优秀
25,在我眼里，爱情不仅仅需要的是信任，更多的是执着，对生活的执着，对希望的执着，对生命的执着，这都是支撑爱情的基础，让爱情之花从尘埃里开出来，绚烂绽放。......,优秀
25,我工作生活在北京 希望找北京的男士做人生伴侣外省市勿扰 你读过更多书，见过更多的山川河流，你经历更多的跌宕起伏，也知道人生的取舍，你的眼界宽广嘴巴挑剔，你的阅识丰富你的为人坦荡，那…,平凡
25,我生长在一个和谐家庭，现就读四川某学校，研三学生。希望可以遇见合适的人，谢谢~...,平凡
24,"请佳缘的工作人员不要再打电话了!!!谢谢你!!!
骗子请绕道!!!
本人比较文静内向，慢热型，被动一点。
希望对方也是广东人！...",平凡
25,我是一个向往自由的人，大概也是因为性格使然，对一般男人似乎都不感冒。这大千世界，过眼繁华，除了青涩岁月里的那个人，似乎还没有谁真正撼动过我的心。过往皆云烟……看着自己年岁渐长，也是…,平凡
